age,annual_income,employment_type,employment_stability_years,credit_score,existing_loans_count,existing_monthly_debt,requested_loan_amount,loan_tenure_months,dependents,savings_balance,risk_label,approved
59,1694000.0,Self-Employed,2.6,675,2,14875.0,4919000.0,120,2,1357666.0,LOW,1
49,1433000.0,Freelance,25.3,835,1,13448.0,2949000.0,120,1,284279.0,LOW,1
35,2046000.0,Salaried,10.1,753,5,71633.0,5245000.0,24,4,693474.0,HIGH,0
63,491000.0,Salaried,6.5,702,4,23436.0,245000.0,24,3,190615.0,MEDIUM,0
28,645000.0,Salaried,10.0,658,2,3674.0,2317000.0,84,2,380561.0,MEDIUM,0
41,218000.0,Salaried,23.0,814,3,7130.0,262000.0,48,5,287373.0,LOW,1
59,1311000.0,Salaried,10.2,677,1,4636.0,3644000.0,24,1,1262225.0,HIGH,1
39,268000.0,Business,10.6,706,1,822.0,872000.0,48,4,84640.0,MEDIUM,1
43,615000.0,Self-Employed,17.4,683,0,0.0,1413000.0,60,1,178130.0,MEDIUM,1
31,280000.0,Self-Employed,13.0,647,1,249.0,433000.0,84,2,134534.0,LOW,1
31,380000.0,Self-Employed,1.9,682,1,1825.0,1489000.0,36,1,414614.0,MEDIUM,1
44,327000.0,Salaried,17.8,523,0,0.0,435000.0,84,1,49651.0,MEDIUM,1
56,375000.0,Salaried,28.6,556,2,1501.0,1429000.0,60,3,322734.0,MEDIUM,1
60,391000.0,Freelance,7.9,707,0,0.0,343000.0,120,1,98798.0,LOW,1
44,389000.0,Business,26.0,805,0,0.0,677000.0,120,2,461872.0,LOW,0
23,891000.0,Business,1.7,707,1,10936.0,724000.0,24,1,865674.0,LOW,0
42,278000.0,Business,8.1,622,1,3126.0,86000.0,36,3,249702.0,MEDIUM,0
22,617000.0,Salaried,2.0,564,1,1502.0,779000.0,36,2,503829.0,MEDIUM,0
44,1122000.0,Salaried,7.2,742,1,7084.0,699000.0,84,1,335227.0,LOW,1
64,397000.0,Salaried,22.1,634,1,2986.0,1568000.0,84,1,322840.0,MEDIUM,0
50,351000.0,Salaried,23.9,731,0,0.0,1094000.0,12,1,292786.0,MEDIUM,0
58,471000.0,Salaried,7.4,711,1,5214.0,148000.0,36,2,486259.0,LOW,1
22,1097000.0,Self-Employed,3.1,718,3,25671.0,1237000.0,48,2,657518.0,MEDIUM,0
41,607000.0,Self-Employed,23.0,682,0,0.0,1687000.0,24,3,293980.0,MEDIUM,1
53,393000.0,Business,10.8,710,2,4729.0,697000.0,120,2,337398.0,LOW,1
32,722000.0,Business,5.0,670,0,0.0,2439000.0,24,1,233109.0,MEDIUM,0
42,279000.0,Freelance,2.8,629,1,2490.0,605000.0,12,4,236403.0,LOW,1
64,813000.0,Salaried,17.3,602,1,8843.0,2210000.0,84,3,246437.0,MEDIUM,1
45,690000.0,Salaried,27.0,489,4,23256.0,1731000.0,84,1,40461.0,MEDIUM,0
47,449000.0,Self-Employed,24.7,665,1,247.0,1195000.0,12,4,276898.0,MEDIUM,1
62,327000.0,Salaried,13.1,801,2,7913.0,376000.0,24,2,365057.0,MEDIUM,1
48,317000.0,Salaried,16.1,738,2,7275.0,533000.0,12,1,270245.0,MEDIUM,1
36,745000.0,Salaried,8.4,698,0,0.0,363000.0,36,2,845301.0,LOW,1
35,1130000.0,Salaried,4.9,621,4,6367.0,2796000.0,120,1,193638.0,MEDIUM,1
64,369000.0,Self-Employed,14.5,759,1,2486.0,738000.0,36,3,169448.0,LOW,1
23,711000.0,Salaried,1.2,670,0,0.0,2215000.0,48,0,312606.0,HIGH,0
57,154000.0,Self-Employed,15.7,805,1,736.0,164000.0,84,0,18392.0,LOW,1
27,380000.0,Self-Employed,9.0,601,1,648.0,728000.0,12,2,27802.0,MEDIUM,0
41,530000.0,Salaried,18.1,620,0,0.0,513000.0,24,1,33080.0,LOW,1
29,313000.0,Salaried,11.0,612,2,2641.0,805000.0,84,2,133610.0,MEDIUM,0
59,308000.0,Salaried,3.8,561,1,1354.0,1059000.0,84,5,237369.0,MEDIUM,0
38,362000.0,Salaried,20.0,605,2,5837.0,1134000.0,60,2,256163.0,MEDIUM,0
24,644000.0,Business,3.6,688,0,0.0,2443000.0,24,4,338239.0,MEDIUM,0
45,483000.0,Business,26.3,623,5,16862.0,1881000.0,84,2,141495.0,HIGH,1
34,150000.0,Self-Employed,12.4,371,0,0.0,473000.0,60,0,4168.0,HIGH,0
29,151000.0,Salaried,11.0,765,2,2491.0,206000.0,60,3,38712.0,MEDIUM,0
46,375000.0,Self-Employed,15.7,545,2,5167.0,417000.0,120,0,134322.0,LOW,1
22,711000.0,Self-Employed,3.1,727,0,0.0,1391000.0,48,3,333213.0,LOW,1
40,150000.0,Self-Employed,20.7,682,0,0.0,597000.0,60,2,47656.0,HIGH,0
48,400000.0,Self-Employed,27.1,849,0,0.0,731000.0,36,3,562734.0,LOW,1
27,394000.0,Self-Employed,4.9,759,0,0.0,408000.0,36,1,230003.0,LOW,1
64,1243000.0,Self-Employed,2.6,639,0,0.0,4716000.0,84,3,378962.0,MEDIUM,0
28,429000.0,Business,10.0,623,2,6214.0,741000.0,48,2,185902.0,MEDIUM,0
55,680000.0,Salaried,8.2,800,1,7754.0,1942000.0,24,0,273393.0,MEDIUM,1
34,588000.0,Business,16.0,561,1,6515.0,1891000.0,24,3,199240.0,MEDIUM,0
37,150000.0,Salaried,19.0,695,0,0.0,513000.0,84,3,26536.0,MEDIUM,1
56,857000.0,Salaried,9.7,669,3,7127.0,2861000.0,84,2,32071.0,LOW,1
60,615000.0,Freelance,24.5,652,0,0.0,2087000.0,24,2,333414.0,MEDIUM,0
24,733000.0,Freelance,0.8,708,1,5582.0,2031000.0,24,1,431871.0,HIGH,0
22,5000000.0,Salaried,0.7,695,0,0.0,8971000.0,36,2,1056016.0,MEDIUM,1
26,155000.0,Salaried,8.0,716,0,0.0,429000.0,36,3,153057.0,MEDIUM,0
62,1521000.0,Salaried,26.1,691,2,26420.0,5165000.0,48,2,377378.0,MEDIUM,0
24,455000.0,Self-Employed,2.2,713,2,4662.0,727000.0,48,0,415062.0,MEDIUM,1
49,642000.0,Business,7.3,687,2,13387.0,897000.0,48,1,157231.0,LOW,0
38,526000.0,Freelance,2.7,627,2,10459.0,827000.0,24,2,164119.0,MEDIUM,0
46,419000.0,Self-Employed,13.3,680,4,4428.0,980000.0,24,2,137457.0,MEDIUM,0
64,384000.0,Salaried,26.7,622,1,883.0,190000.0,36,2,99347.0,LOW,1
54,658000.0,Self-Employed,14.0,617,1,5903.0,2094000.0,36,1,630816.0,MEDIUM,1
30,217000.0,Salaried,12.0,653,0,0.0,177000.0,12,1,66733.0,MEDIUM,1
56,848000.0,Freelance,9.8,670,0,0.0,671000.0,12,2,467325.0,MEDIUM,1
34,421000.0,Business,10.2,682,1,3960.0,434000.0,84,1,350342.0,LOW,0
51,274000.0,Self-Employed,26.9,753,1,2928.0,667000.0,24,1,116397.0,LOW,1
35,413000.0,Salaried,12.8,640,1,1234.0,560000.0,84,3,19268.0,LOW,1
28,1149000.0,Salaried,10.0,695,0,0.0,1910000.0,36,2,1009218.0,LOW,0
34,392000.0,Salaried,7.1,689,3,12186.0,1469000.0,24,2,136477.0,MEDIUM,0
43,670000.0,Business,25.0,631,5,36548.0,2301000.0,84,1,605059.0,MEDIUM,1
60,349000.0,Self-Employed,17.2,685,1,1254.0,1205000.0,84,2,199277.0,MEDIUM,0
41,851000.0,Salaried,22.8,760,3,3324.0,2074000.0,60,0,680243.0,LOW,1
36,815000.0,Self-Employed,2.7,694,3,7116.0,2857000.0,12,4,884667.0,MEDIUM,0
65,1638000.0,Business,14.8,698,5,96796.0,5210000.0,48,0,1641898.0,HIGH,0
38,486000.0,Salaried,20.0,623,1,2810.0,1860000.0,24,2,394507.0,MEDIUM,1
44,807000.0,Business,26.0,837,2,8445.0,434000.0,120,2,612773.0,LOW,1
46,573000.0,Business,1.4,628,0,0.0,233000.0,60,0,115578.0,LOW,1
45,1176000.0,Freelance,9.1,546,2,1500.0,1114000.0,48,5,876363.0,MEDIUM,1
65,351000.0,Salaried,13.3,748,2,5868.0,1312000.0,84,0,53773.0,MEDIUM,1
61,845000.0,Salaried,5.2,670,2,12460.0,2147000.0,60,1,826497.0,MEDIUM,1
49,481000.0,Salaried,21.9,655,0,0.0,903000.0,120,1,398845.0,LOW,1
35,520000.0,Salaried,5.5,636,3,2151.0,1142000.0,36,3,437209.0,MEDIUM,0
65,571000.0,Salaried,10.4,829,1,2513.0,1924000.0,36,0,312616.0,MEDIUM,0
21,629000.0,Self-Employed,0.3,708,0,0.0,2351000.0,36,2,84537.0,HIGH,0
45,504000.0,Self-Employed,14.5,723,1,1102.0,1512000.0,84,1,441550.0,LOW,1
27,615000.0,Business,9.0,693,3,20357.0,1914000.0,48,2,684881.0,MEDIUM,0
29,1393000.0,Salaried,11.0,701,4,8461.0,2069000.0,48,2,1384791.0,LOW,0
44,976000.0,Self-Employed,3.5,791,2,4127.0,1979000.0,36,0,1081905.0,MEDIUM,1
21,910000.0,Business,2.0,659,0,0.0,3254000.0,84,0,632450.0,HIGH,0
64,411000.0,Business,6.9,563,0,0.0,1318000.0,48,0,54518.0,HIGH,0
28,317000.0,Business,10.0,749,0,0.0,898000.0,36,3,339959.0,MEDIUM,1
44,959000.0,Business,1.0,719,0,0.0,519000.0,24,4,281381.0,LOW,1
