transaction_id,amount,transaction_type,hour_of_day,day_of_week,location_change,new_device,transaction_frequency_24h,customer_avg_amount,distance_from_home_km,account_age_days,is_fraud,customer_id
TXN000000,25282.85,Transfer,14,2,0,1,5,6152.56,14.1,1965,0,CUST0487
TXN000001,640.94,Purchase,13,3,0,0,1,1148.87,1.2,2691,0,CUST0365
TXN000002,1274.98,Withdrawal,18,4,0,0,4,3623.41,2.9,3231,0,CUST0141
TXN000003,1810.97,Payment,13,3,0,0,2,2377.54,0.5,1249,0,CUST0029
TXN000004,5294.02,Transfer,15,2,1,0,1,1149.86,18.4,798,0,CUST0437
TXN000005,716.31,Purchase,16,4,0,0,1,6523.09,5.3,1786,0,CUST0458
TXN000006,2288.41,Withdrawal,15,6,0,0,1,1596.24,11.1,1118,0,CUST0401
TXN000007,2099.5,Payment,20,2,0,0,3,1275.26,3.2,1330,0,CUST0031
TXN000008,3580.34,Purchase,13,4,0,0,3,6046.56,1.8,2348,0,CUST0180
TXN000009,1710.35,Transfer,17,5,0,0,5,722.46,8.8,102,0,CUST0169
TXN000010,10461.69,Payment,17,3,0,0,3,2640.09,1.8,611,0,CUST0476
TXN000011,2867.16,Payment,17,0,1,0,1,7968.66,2.3,2774,0,CUST0313
TXN000012,544.72,Transfer,11,3,0,0,2,3295.69,12.0,1334,0,CUST0392
TXN000013,5587.23,Purchase,10,2,0,0,0,1966.52,5.7,1501,0,CUST0094
TXN000014,2593.2,Payment,12,2,1,0,2,3144.81,4.7,1786,0,CUST0231
TXN000015,741.93,Transfer,15,3,0,0,2,682.18,12.8,2918,0,CUST0477
TXN000016,3404.26,Payment,11,5,0,0,2,1716.94,2.4,928,0,CUST0310
TXN000017,5212.91,Withdrawal,3,4,1,0,10,959.76,53.7,42,1,CUST0205
TXN000018,2694.57,Purchase,10,6,0,0,5,1175.88,7.9,1321,0,CUST0440
TXN000019,2796.01,Payment,21,1,0,0,0,1179.87,4.9,1166,0,CUST0283
TXN000020,75411.43,Withdrawal,8,5,0,1,13,1290.4,10.0,17,1,CUST0319
TXN000021,4544.4,Purchase,20,5,0,0,1,734.84,9.5,321,0,CUST0195
TXN000022,4080.52,Transfer,9,6,0,1,6,5069.68,7.0,2102,0,CUST0026
TXN000023,6602.52,Payment,11,1,1,0,1,788.46,1.6,3345,0,CUST0220
TXN000024,475.99,Payment,17,2,0,0,4,1502.21,7.0,3403,0,CUST0055
TXN000025,31154.18,Purchase,23,1,1,1,5,990.73,32.6,196,1,CUST0300
TXN000026,3446.85,Transfer,7,0,0,0,4,1176.8,3.5,506,0,CUST0330
TXN000027,6895.28,Transfer,11,5,0,0,3,2273.85,1.6,1714,0,CUST0173
TXN000028,1457.11,Payment,14,6,0,0,4,598.87,3.5,3010,0,CUST0211
TXN000029,2041.54,Purchase,0,0,0,0,4,947.5,13.5,1938,0,CUST0208
TXN000030,3278.55,Transfer,15,1,0,0,3,1681.93,0.3,2876,0,CUST0426
TXN000031,1988.91,Purchase,19,6,0,0,1,2569.75,0.1,1080,0,CUST0093
TXN000032,6383.8,Withdrawal,1,0,0,0,4,904.74,2.6,177,0,CUST0225
TXN000033,2791.97,Payment,10,1,0,0,4,1300.23,3.9,783,0,CUST0026
TXN000034,1913.16,Purchase,10,3,0,0,1,1732.16,2.2,1739,0,CUST0250
TXN000035,1557.8,Payment,18,1,0,0,5,3667.3,9.0,2824,0,CUST0149
TXN000036,8436.51,Payment,16,1,1,0,3,566.14,9.7,3464,0,CUST0486
TXN000037,4527.21,Payment,7,2,0,0,3,2226.58,13.4,2319,0,CUST0248
TXN000038,1971.79,Payment,20,0,1,0,1,2998.2,4.7,770,0,CUST0025
TXN000039,376.85,Transfer,9,2,0,0,5,861.53,4.8,615,0,CUST0080
TXN000040,2889.9,Purchase,10,0,0,0,2,1107.03,1.2,576,0,CUST0443
TXN000041,533.34,Transfer,15,5,0,0,1,2668.63,10.8,1217,0,CUST0167
TXN000042,481.23,Purchase,10,1,0,0,1,1739.44,1.8,1775,0,CUST0450
TXN000043,279.63,Payment,10,4,1,1,2,834.62,6.2,2028,0,CUST0426
TXN000044,666.96,Transfer,9,5,0,0,2,804.75,4.1,1234,0,CUST0150
TXN000045,2201.43,Withdrawal,13,4,0,0,3,2134.04,0.9,1896,0,CUST0386
TXN000046,1367.16,Purchase,7,1,0,0,3,1087.32,1.4,750,0,CUST0187
TXN000047,474.98,Transfer,18,3,1,0,1,4938.55,9.7,874,0,CUST0139
TXN000048,9320.43,Withdrawal,10,1,0,0,2,2106.94,1.6,2876,0,CUST0465
TXN000049,13301.97,Payment,17,0,0,0,2,1337.38,18.0,3008,0,CUST0425
TXN000050,302.97,Withdrawal,9,2,0,0,6,6168.32,1.9,377,0,CUST0220
TXN000051,662.43,Purchase,14,0,0,0,4,541.78,20.4,498,0,CUST0132
TXN000052,3186.8,Purchase,19,0,0,0,3,527.17,1.9,390,0,CUST0155
TXN000053,701.7,Payment,7,6,0,0,3,2398.14,0.3,916,0,CUST0430
TXN000054,2845.54,Transfer,10,4,0,0,4,2495.11,22.0,3105,0,CUST0066
TXN000055,8066.37,Purchase,19,3,0,0,0,2752.82,4.3,1671,0,CUST0491
TXN000056,1470.55,Transfer,4,3,0,0,3,646.5,2.6,784,0,CUST0228
TXN000057,6667.25,Purchase,11,6,0,0,5,1256.09,10.4,3177,0,CUST0183
TXN000058,2787.67,Payment,5,3,0,0,2,504.77,1.0,3291,0,CUST0166
TXN000059,1732.25,Payment,14,5,0,0,2,963.96,11.2,3460,0,CUST0484
TXN000060,3133.96,Transfer,11,0,0,0,1,3107.11,2.5,654,0,CUST0389
TXN000061,5065.71,Payment,13,6,0,0,4,2501.09,3.1,1403,0,CUST0412
TXN000062,738.46,Transfer,16,4,0,0,0,1963.69,10.8,1827,0,CUST0265
TXN000063,2152.91,Purchase,20,4,0,0,3,1507.87,0.6,1744,0,CUST0381
TXN000064,486.95,Transfer,11,2,0,0,5,1891.0,6.9,1503,0,CUST0206
TXN000065,3402.33,Transfer,10,0,1,0,2,225.99,9.7,465,0,CUST0085
TXN000066,1554.89,Withdrawal,9,2,0,0,4,1093.8,9.8,894,0,CUST0186
TXN000067,111078.65,Payment,1,0,1,0,7,812.66,10.0,335,1,CUST0248
TXN000068,1256.93,Payment,8,0,0,0,0,2417.37,0.4,1850,0,CUST0332
TXN000069,708.74,Transfer,17,1,0,0,2,1770.4,0.3,689,0,CUST0309
TXN000070,2231.22,Payment,18,6,0,0,0,2548.95,0.6,2252,0,CUST0307
TXN000071,1862.65,Withdrawal,17,0,0,0,4,1368.53,15.0,394,0,CUST0431
TXN000072,1342.81,Payment,6,3,0,1,3,987.34,27.5,1402,0,CUST0425
TXN000073,3005.71,Transfer,9,0,0,0,4,2461.66,4.6,3191,0,CUST0399
TXN000074,2241.08,Payment,17,4,0,0,1,4170.34,2.0,218,0,CUST0303
TXN000075,3854.64,Purchase,10,2,0,0,3,3275.34,1.1,535,0,CUST0092
TXN000076,915.02,Payment,22,6,0,0,1,1612.19,7.7,2493,0,CUST0075
TXN000077,716.66,Transfer,10,1,0,0,2,924.77,29.2,2067,0,CUST0084
